event_id,name,start_date,end_date,location,category
1073,"European Youth Cup (L,S) - Voiron (FRA) 2018 ",7/4/18,8/4/18,EYC_FRA_18,Continental
1074,European Youth Cup (B) - Graz (AUT) 2018 ,28/4/18,29/4/18,EYC_Graz_18,Continental
1075,European Youth Cup (B) - Soure (POR) 2018 ,5/5/18,6/5/18,EYC_POR_18,Continental
1076,European Youth Cup (S) - Bologna (ITA) 2018 ,12/5/18,13/5/18,EYC_ITA_18,Continental
1077,"European Youth Championship (L, S) - Imst 2018",25/5/18,27/5/18,EYCH_AUT_18,Continental
1078,European Youth Cup (B) - Delft (NED) 2018 ,2/6/18,3/6/18,EYC_NED_18,Continental
1079,European Youth Cup (L) - Bruneck (ITA) 2018 ,16/6/18,17/6/18,EYC_ITA_18,Continental
1080,European Youth Cup (S) - Mezzolombardo (ITA) 2018 ,22/6/18,24/6/18,EYC_ITA_18,Continental
1081,European Youth Cup (L) - Uster (SUI) 2018 ,30/6/18,1/7/18,EYC_L_SUI,Continental
1082,European Youth Cup (L) - Munich (GER) 2018 ,7/7/18,8/7/18,EYC_L_MUN,Continental
1083,European Youth Cup (B) - Sofia (BUL) 2018 ,21/7/18,22/7/18,Sofia,Continental
1084,European Youth Championships (B) - Brussels (BEL) 2018 ,31/8/18,2/9/18,EYCH_Brussels_18,Continental
1085,"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21/11/18,26/11/18,PAC Guayaquil,Continental
1088,World University Championships - Bratislava (SVK) 2018,20/6/18,23/6/18,UCH18,Other
1091,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2018,10/3/18,11/3/18,Promo Sheffield,Other
1095,"International Climbing Series - Outdoor Village Speed Stars - Akishima, Tokyo (JPN) 2018",28/4/18,29/4/18,Speed Stars 2018,Other
1098,Promo Event - International Climbing Elite Tournament (L + S) - Ningbo (CHN) 2018,26/5/18,27/5/18,Promo Ningbo 2018,Other
1101,Promo Event - International Climbing Elite Tournament (L + S) - Delingha(CHN) 2018,14/7/18,15/7/18,Promo Ningbo 2018,Other
1107,Promo Event - International Climbing Elite Tournament (L+S) - Huai’an (CHN) 2018,9/10/18,10/10/18,Promo Ningbo 2018,Other
1108,Promo Event - International Climbing Elite Tournament (L+S) - Wanxianshan (CHN) 2018,13/10/18,14/10/18,Promo Ningbo 2018,Other
1109,International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,15/11/18,17/11/18,China_Open_Q,Other
1110,International Climbing Series - China Open - Guangzhou (CHN) 2018 ,16/11/18,18/11/18,China_Open_18,Other
1111,Promo Event - International Climbing Elite Tournament (L+S) - Leye (CHN) 2018,24/11/18,25/11/18,Promo Ningbo 2018,Other
1112,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019 ,5/4/19,6/4/19,MeiringenWC,World Cup
1113,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 ",12/4/19,14/4/19,MoscowWC,World Cup
1114,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",26/4/19,28/4/19,ChongqingWC,World Cup
